country,immigrants,population
af,1759,22202806
al,3765,3051427
ag,1030,32572977
aq,26,58729
ao,92,14886574
av,20,NaN
ac,380,80030
ar,3661,37627545
am,1800,3047002
aa,32,94995
as,2557,19651400
au,483,8081957
aj,1164,8171950
bf,808,309039
ba,85,732541
bg,5483,137006279
bb,813,269524
bo,2923,9865000
be,769,10332785
bh,966,251766
bn,137,7414744
bd,108,62912
bt,14,598455
bl,1664,8843350
bk,25329,3897579
bc,30,1808976
br,9439,179393768
vi,43,108208
bx,28,346407
bu,3608,7868468
uv,64,12296399
bm,1356,NaN
by,120,7037727
cb,2800,12709336
cm,984,16782044
ca,19352,31362000
cv,871,459140
cj,24,44742
ct,13,3767248
cd,47,8959964
ci,1839,15819522
ch,61082,1280400000
co,18758,41216304
cs,1591,4093840
iv,629,16674987
hr,3798,4440000
cu,28182,11212125
cy,158,979877
ez,267,10196916
cg,178,3283719
da,609,5375931
dj,30,744434
do,148,69806
dr,22515,8935261
ec,10561,13030041
eg,4852,68302914
en,31060,6008308
en,343,551399
ek,8,4281576
er,560,1379350
et,7565,69948344
fj,1208,816237
fi,426,5200598
fr,3797,61803229
fg,6,NaN
fp,12,245032
gb,41,1285318
ga,343,1306667
gg,886,4357000
gm,8888,82488495
fh,4248,19786307
gr,1009,10983723
gj,634,102099
gp,38,NaN
gt,16178,11765738
gv,16,9045748
pu,289,1330849
gy,9938,750629
ha,20213,8859635
ho,6435,6495801
hk,6075,6744100
hu,1274,10158608
ic,93,287523
in,70823,1076705723
id,2418,215038285
ir,12960,67727274
iz,5174,25238267
ei,1398,3931947
is,3826,6570000
it,2578,57059007
jm,14835,2615253
jn,8248,127445000
jo,3964,5038000
kz,2315,14858948
ke,3199,33000524
kr,0,85799
ks,20724,47622179
kv,1,NaN
ku,1056,2048232
kg,473,4990700
lo,1245,5545245
lo,725,5376912
lg,683,2310173
le,3935,3515604
lt,13,1885487
li,2869,3070673
ly,158,5340389
lh,1786,3443067
lu,32,446175
mc,284,444150
mk,821,2074441
ma,43,16736029
mi,56,11926778
my,2124,24413795
mv,9,282743
ml,105,10882662
mt,44,395969
rm,26,52161
mb,19,NaN
mr,124,2877431
mp,83,1210196
mx,218822,106723661
fm,0,106983
mn,17,32653
mg,135,2443231
mj,1,NaN
mh,42,NaN
mo,3387,29311443
mz,54,19319894
wa,46,1958303
np,1137,24102862
nl,1549,16148929
nt,97,NaN
nc,5,221490
nz,1117,3948500
nu,10659,5248577
ng,1263,11817297
ni,8105,129224641
no,431,4538159
mu,61,2308409
pk,13694,149693684
ps,10,19575
pm,1680,3178450
pp,26,5660267
pa,356,5571371
pe,11918,26729909
rp,51040,80953652
pl,12711,38230364
po,1313,10419631
qa,108,629745
cf,677,NaN
md,2103,3623062
ro,4887,21730496
rs,20771,145408033
rw,217,8987523
sc,342,46934
st,583,160217
vc,480,108150
ws,157,176592
tp,4,144447
sa,1014,21825217
sq,530,10390050
ri,1,7500031
ri,10387,612325
se,20,83700
sl,2246,4493047
sn,1033,4176000
si,140,1994530
bp,7,434880
so,4535,7825924
sf,3861,45808736
od,1,7186820
sp,1361,41431558
ce,1529,18921000
su,2921,29186427
ns,247,480099
wz,12,1082183
sw,1376,8924958
sz,1004,7284753
sy,2557,16994676
tw,9775,NaN
ti,181,6404118
tz,577,35806497
th,4144,63797841
to,935,5123674
tn,331,99083
td,5738,1277723
ts,540,9781900
tu,3375,65022300
tx,93,4600171
tk,31,21740
ug,575,25943441
up,21190,48202500
ae,472,3223969
uk,16297,59370479
us,64,287625193
uy,536,3327500
uz,2317,25271850
ve,5228,25333622
vm,33563,79538700
ym,1227,18551068
za,308,10625423
zi,484,12640922
ja,8248,NaN
gl,609,NaN
gh,4248,NaN
sg,530,NaN
la,1298,NaN
